date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:47	6887/6887	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:44%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/client4.png	kamleshyadav.com/html/portfolio/black_version/images/content/client4.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:48	5530/5530	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:45%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/client5.png	kamleshyadav.com/html/portfolio/black_version/images/content/client5.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:49	352/352	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Apr%202020%2012:50:46%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/header/left_arrow.png	kamleshyadav.com/html/portfolio/black_version/images/header/left_arrow.png	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:52	39158/39158	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:47%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port1_big.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port1_big.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:55	31684/31684	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:48%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port1.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port1.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:57	19413/19413	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:49%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port2.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port2.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:58	16720/16720	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:50%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port3.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port3.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:20:59	20961/20961	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:52%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port4.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port4.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:01	13838/13838	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:54%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port5.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port5.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:02	14001/14001	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:56%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port6.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port6.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:05	35418/35418	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:55%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port6_big.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port6_big.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:08	74274/74274	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:51%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port4_big.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port4_big.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:09	19066/19066	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:51:03%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port8.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port8.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:12	53647/53647	---M--	200	added ('OK')	image/jpeg	date:Sun,%2005%20Apr%202020%2012:50:58%20GMT	http://kamleshyadav.com/html/portfolio/black_version/images/content/port7_big.jpg	kamleshyadav.com/html/portfolio/black_version/images/content/port7_big.jpg	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:13	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:06%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/bootstrap.js	kamleshyadav.com/html/portfolio/black_version/js/bootstrap.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
18:21:15	86661/86661	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2005%20Apr%202020%2012:51:05%20GMT	http://kamleshyadav.com/html/portfolio/black_version/js/jquery.js	kamleshyadav.com/html/portfolio/black_version/js/jquery.js	(from http://kamleshyadav.com/html/portfolio/black_version/index.html)
